"","H.G","Elec","P.A","Fashion"
"373",11073792.458141,4537040.88161606,5512556.62319455,3403184.86056392
"374",9900177.7064845,4897690.25089855,6691805.39846149,3051274.02908544
"375",9074606.25517817,4566469.33764286,5997921.45083529,2810520.97283198
"376",8319621.23775912,4368301.80408768,5434890.39534288,2641213.83502438
"377",7779742.17864667,4392234.57245029,5107676.31816361,2613624.62016684
"378",6434363.33231776,3514302.70825292,4077423.80552609,2237295.98434595
"379",6191225.54537559,2982084.31964385,3494178.90640288,2117629.07664317
"380",10464846.9601886,4292265.9476864,5203104.08179151,3330312.16637819
"381",9690894.23734122,4777574.46709841,6437215.72575924,2850197.32474531
"382",8557891.23504518,4345782.26285817,5598167.15134518,2694134.52535539
"383",8597252.26413977,4289509.82297923,5531823.54729207,2680859.13070598
"384",7834298.00611984,4288252.14189575,4794776.90452045,2591129.10816438
"385",7060762.15462513,4027904.84584197,4097390.85298147,2454705.91976277
"386",6412213.29175493,3215015.12898401,3416442.64759004,2213238.54023809
"387",10292330.6390274,4373027.10462634,5139720.55584762,3386650.03883704
"388",9621084.28171763,4867071.97102587,6402073.30174292,3005540.5480972
"389",8806150.25580522,4624547.40173918,5827184.76795506,2846776.50017283
"390",8299232.87878131,5190421.06454698,5486452.06890712,2722165.64716282
"391",7778945.84274079,4318700.46953879,4837496.66464862,2616178.70230871
"392",6373982.95888072,3596347.25455144,4080221.53892399,2323470.18105575
"393",6238654.78884772,3077557.97393654,3455805.36989995,2263196.87456195
"394",10393800.1182472,4328906.62717906,5091347.91933735,3583720.06713498
"395",9209217.89450693,4896858.86457118,6017290.14679079,3056192.82398331
"396",8908246.31427862,4704399.25695411,5820226.33636481,3166645.44263493
